"","X","WillowSubNo","PayCode","movieCheck","trialNo","itemId","eventOrder","blockOrder","eventType","condition","manner","result","verbName","verbMeaning","seeAmbigV1","seeAmbigV2","seeBiasV1","seeBiasV2","seeTrain1a","seeTrain2a","seeTrain3a","seeTrain1b","seeTrain2b","seeTrain3b","seeTestV1","seeTestV2","ambigS","ambigV","bias1","bias2","biasV1Ans","bias1RESP","biasV2Ans","bias2RESP","test1","test2","testV1Ans","test1RESP","testV2Ans","test2RESP","catchTrialNum","catchOrderedNum","catchTrialRESP","commentCheck","HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.Comments","Answer.English","Answer.country","Approve","Reject","trialCount","SubNo","DemographicsCrit","subExcl_NotUSA_notEngl","block1","block2","seeAmbig","seeBias1","seeBias2","seeTrain1","seeTrain2","seeTrain3","seeTest1","seeTest2","seeVidCheck","ProportionOfVideoLostTrials","NumberOfVideoLostTrials","trialCountBlock","meetMinTrialCrit","SubExcl_FailMinTrialCrit","NumberValidTrialsTotal","NumberInvalidTrialsTotal","ProportionInvalidTrialsTotal","NumberOfTrialsPerIncludedSubject","AvgNumberValidTrialsPerIncludedSubject","NumberIncludedSubjects","MannerOfMotionIncludedSubjectTotal","PathIncludedSubjectTotal","MeansIncludedSubjectTotal","EffectIncludedSubjectTotal","bias1ACC","bias2ACC","biasACC","test1ACC","test2ACC","testACC"
"1",157,125,"a1a1613a12a125","A red ball chased a smaller green ball across the screen","1",6,"b1Causal_b2Motion","b1Means_b2Motion","Causal","Means","pliers","bend","klebbing","pliers",1,1,1,1,1,1,1,1,1,1,1,1,"The monster is klebbing the candle.","pliers.bend.candle","hammer.bend.sunflower","pliers.cut.pizza",0,1,1,0,"bat.bend.flagpole","pliers.empty.martiniglass",0,0,1,1,"4 0 7 1 6",1467,"01467","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"2NMCF806UFBNSIDIIY63F5S1LAN0EK","A3QSDZ8AAGZDKC","Submitted","Thu Sep 26 16:52:39 GMT 2013","Thu Sep 26 18:49:47 GMT 2013","Sun Oct 06 11:49:47 PDT 2013","",NA,NA,7028,"100% (1/1)","0% (0/0)","0% (0/0)","Please, PLEASE make the study remember where you were if it crashes! My study crashed halfway through and I had to start all over from the beginning after I'd been working on it 40+ minutes.","yes","USA",NA,NA,16,"10",1,10,1,0,1,1,1,1,1,1,1,1,1,0.08,0,6,1,28,2286,514,0.183571428571429,12,15.5510204081633,147,39,32,40,36,0,0,0,1,1,1
"2",147,125,"a1a1613a12a125","A red ball chased a smaller green ball across the screen","3",8,"b1Causal_b2Motion","b1Means_b2Motion","Causal","Means","trowel","flatten","rolting","trowel",1,1,1,1,1,1,1,1,1,1,1,1,"The monster is rolting the sand.","trowel.flatten.sand","crowbar.flatten.donut","trowel.break.flowerpot",0,0,1,1,"knife.flatten.sponge","trowel.rip.sack",0,0,1,1,"3 9 0 3 9",3399,"03399","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"2NMCF806UFBNSIDIIY63F5S1LAN0EK","A3QSDZ8AAGZDKC","Submitted","Thu Sep 26 16:52:39 GMT 2013","Thu Sep 26 18:49:47 GMT 2013","Sun Oct 06 11:49:47 PDT 2013","",NA,NA,7028,"100% (1/1)","0% (0/0)","0% (0/0)","Please, PLEASE make the study remember where you were if it crashes! My study crashed halfway through and I had to start all over from the beginning after I'd been working on it 40+ minutes.","yes","USA",NA,NA,16,"10",1,10,1,0,1,1,1,1,1,1,1,1,1,0.08,0,6,1,28,2286,514,0.183571428571429,12,15.5510204081633,147,39,32,40,36,1,1,1,1,1,1
"3",156,125,"a1a1613a12a125","A red ball chased a smaller green ball across the screen","5",5,"b1Causal_b2Motion","b1Means_b2Motion","Causal","Means","knife","cut","gorping","knife",0,1,1,1,1,1,1,0,1,1,1,1,"The monster is gorping the bread.","knife.cut.bread","knife.bend.fork","poker.cut.curtain",1,1,0,1,"knife.crush.apple","trowel.cut.cheese",1,1,0,0,"9 8 6 1 6",16689,"16689","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"2NMCF806UFBNSIDIIY63F5S1LAN0EK","A3QSDZ8AAGZDKC","Submitted","Thu Sep 26 16:52:39 GMT 2013","Thu Sep 26 18:49:47 GMT 2013","Sun Oct 06 11:49:47 PDT 2013","",NA,NA,7028,"100% (1/1)","0% (0/0)","0% (0/0)","Please, PLEASE make the study remember where you were if it crashes! My study crashed halfway through and I had to start all over from the beginning after I'd been working on it 40+ minutes.","yes","USA",NA,NA,16,"10",1,10,1,0,1,1,1,1,1,1,1,1,1,0.08,0,6,1,28,2286,514,0.183571428571429,12,15.5510204081633,147,39,32,40,36,1,0,0.5,1,1,1
"4",152,125,"a1a1613a12a125","A red ball chased a smaller green ball across the screen","6",2,"b1Causal_b2Motion","b1Means_b2Motion","Causal","Means","comb","rip","gossing","comb",0,1,1,1,0,1,1,1,1,1,0,1,"The monster is gossing the armchair.","comb.rip.armchair","bat.rip.kite","comb.open.book",0,0,1,1,"hammer.rip.shirt","comb.flatten.burger",0,0,1,1,"1 3 3 5 7",13357,"13357","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"2NMCF806UFBNSIDIIY63F5S1LAN0EK","A3QSDZ8AAGZDKC","Submitted","Thu Sep 26 16:52:39 GMT 2013","Thu Sep 26 18:49:47 GMT 2013","Sun Oct 06 11:49:47 PDT 2013","",NA,NA,7028,"100% (1/1)","0% (0/0)","0% (0/0)","Please, PLEASE make the study remember where you were if it crashes! My study crashed halfway through and I had to start all over from the beginning after I'd been working on it 40+ minutes.","yes","USA",NA,NA,16,"10",1,10,1,0,1,1,1,1,1,1,1,1,1,0.08,0,6,1,28,2286,514,0.183571428571429,12,15.5510204081633,147,39,32,40,36,1,1,1,1,1,1
"5",159,125,"a1a1613a12a125","A red ball chased a smaller green ball across the screen","7",3,"b1Causal_b2Motion","b1Means_b2Motion","Causal","Means","crowbar","open","zicking","crowbar",1,0,0,0,1,1,1,1,1,1,1,1,"The monster is zicking the grill.","crowbar.open.grill","crowbar.rip.pillow","trowel.open.door",1,1,0,0,"crowbar.break.shoe","poker.open.window",1,1,0,0,"9 9 1 9",1999,"1999","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"2NMCF806UFBNSIDIIY63F5S1LAN0EK","A3QSDZ8AAGZDKC","Submitted","Thu Sep 26 16:52:39 GMT 2013","Thu Sep 26 18:49:47 GMT 2013","Sun Oct 06 11:49:47 PDT 2013","",NA,NA,7028,"100% (1/1)","0% (0/0)","0% (0/0)","Please, PLEASE make the study remember where you were if it crashes! My study crashed halfway through and I had to start all over from the beginning after I'd been working on it 40+ minutes.","yes","USA",NA,NA,16,"10",1,10,1,0,1,1,1,1,1,1,1,1,1,0.08,0,6,1,28,2286,514,0.183571428571429,12,15.5510204081633,147,39,32,40,36,1,1,1,1,1,1
"6",158,125,"a1a1613a12a125","A red ball chased a smaller green ball across the screen","8",4,"b1Causal_b2Motion","b1Means_b2Motion","Causal","Means","hammer","crush","nibbing","hammer",1,1,1,0,1,1,1,0,1,1,1,1,"The monster is nibbing the strawberries.","hammer.crush.strawberries","pliers.crush.candycanes","hammer.empty.brushcontainer",0,0,1,1,"comb.crush.juicebox","hammer.cut.watermelon",0,0,1,1,"5 9 6 4 1",14569,"14569","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"2NMCF806UFBNSIDIIY63F5S1LAN0EK","A3QSDZ8AAGZDKC","Submitted","Thu Sep 26 16:52:39 GMT 2013","Thu Sep 26 18:49:47 GMT 2013","Sun Oct 06 11:49:47 PDT 2013","",NA,NA,7028,"100% (1/1)","0% (0/0)","0% (0/0)","Please, PLEASE make the study remember where you were if it crashes! My study crashed halfway through and I had to start all over from the beginning after I'd been working on it 40+ minutes.","yes","USA",NA,NA,16,"10",1,10,1,0,1,1,1,1,1,1,1,1,1,0.08,0,6,1,28,2286,514,0.183571428571429,12,15.5510204081633,147,39,32,40,36,1,1,1,1,1,1
"7",1590,71,"g2436849d2e71","A large red ball chasing a small green ball.","1",3,"b1Causal_b2Motion","b1Effect_b2Motion","Causal","Effect","crowbar","open","zicking","open",1,1,1,1,1,1,1,1,1,1,1,1,"The monster is zicking the grill.","crowbar.open.grill","crowbar.rip.pillow","trowel.open.door",1,1,0,0,"crowbar.break.shoe","poker.open.window",0,0,1,1,"4 2 5 8 0",2458,"02458","","24192NJKM05BZ9BW5BN2MTPBFETAFN","22OWJ5OPB0YVTPQ0A927KP9U3GAX5M","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.25","Thu Oct 03 14:00:50 GMT 2013",40,"BatchId:1284637;",14400,864000,"Tue Oct 08 14:00:50 GMT 2013",NA,NA,"2ERMAZHHRRLF3Q6PB8IH7KHTPAJMD3","A2LK12UG9VA49J","Submitted","Thu Oct 03 14:53:30 GMT 2013","Thu Oct 03 15:27:31 GMT 2013","Sun Oct 13 08:27:31 PDT 2013",NA,NA,NA,2041,"0% (0/0)","0% (0/0)","0% (0/0)","","yes","USA",NA,NA,16,"100",1,10,1,0,1,1,1,1,1,1,1,1,1,0.08,0,8,1,28,2286,514,0.183571428571429,16,15.5510204081633,147,39,32,40,36,1,1,1,1,1,1
"8",1594,71,"g2436849d2e71","A large red ball chasing a small green ball.","2",1,"b1Causal_b2Motion","b1Effect_b2Motion","Causal","Effect","bat","break","blicking","break",1,1,1,1,1,1,1,1,1,1,1,1,"The monster is blicking the record.","bat.break.record","bat.flatten.cupcake","comb.break.cookies",1,1,0,1,"bat.open.babybottle","pliers.break.eyeglasses",0,0,1,1,"1 7 4 6 1",11467,"11467","","24192NJKM05BZ9BW5BN2MTPBFETAFN","22OWJ5OPB0YVTPQ0A927KP9U3GAX5M","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.25","Thu Oct 03 14:00:50 GMT 2013",40,"BatchId:1284637;",14400,864000,"Tue Oct 08 14:00:50 GMT 2013",NA,NA,"2ERMAZHHRRLF3Q6PB8IH7KHTPAJMD3","A2LK12UG9VA49J","Submitted","Thu Oct 03 14:53:30 GMT 2013","Thu Oct 03 15:27:31 GMT 2013","Sun Oct 13 08:27:31 PDT 2013",NA,NA,NA,2041,"0% (0/0)","0% (0/0)","0% (0/0)","","yes","USA",NA,NA,16,"100",1,10,1,0,1,1,1,1,1,1,1,1,1,0.08,0,8,1,28,2286,514,0.183571428571429,16,15.5510204081633,147,39,32,40,36,1,0,0.5,1,1,1
"9",1598,71,"g2436849d2e71","A large red ball chasing a small green ball.","3",7,"b1Causal_b2Motion","b1Effect_b2Motion","Causal","Effect","poker","empty","wugging","empty",1,1,1,1,1,1,1,1,1,1,1,1,"The monster is wugging the trash.","poker.empty.trash","poker.crush.car","knife.empty.goblet",1,0,0,1,"poker.bend.lamp","crowbar.empty.detergentcontainer",0,0,1,1,"4 4 0 6 7",4467,"04467","","24192NJKM05BZ9BW5BN2MTPBFETAFN","22OWJ5OPB0YVTPQ0A927KP9U3GAX5M","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.25","Thu Oct 03 14:00:50 GMT 2013",40,"BatchId:1284637;",14400,864000,"Tue Oct 08 14:00:50 GMT 2013",NA,NA,"2ERMAZHHRRLF3Q6PB8IH7KHTPAJMD3","A2LK12UG9VA49J","Submitted","Thu Oct 03 14:53:30 GMT 2013","Thu Oct 03 15:27:31 GMT 2013","Sun Oct 13 08:27:31 PDT 2013",NA,NA,NA,2041,"0% (0/0)","0% (0/0)","0% (0/0)","","yes","USA",NA,NA,16,"100",1,10,1,0,1,1,1,1,1,1,1,1,1,0.08,0,8,1,28,2286,514,0.183571428571429,16,15.5510204081633,147,39,32,40,36,0,0,0,1,1,1
"10",1589,71,"g2436849d2e71","A large red ball chasing a small green ball.","4",6,"b1Causal_b2Motion","b1Effect_b2Motion","Causal","Effect","pliers","bend","klebbing","bend",1,1,1,1,1,1,1,1,1,1,1,1,"The monster is klebbing the candle.","pliers.bend.candle","hammer.bend.sunflower","pliers.cut.pizza",0,1,1,0,"bat.bend.flagpole","pliers.empty.martiniglass",1,1,0,0,"4 7 5 7 6",45677,"45677","","24192NJKM05BZ9BW5BN2MTPBFETAFN","22OWJ5OPB0YVTPQ0A927KP9U3GAX5M","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.25","Thu Oct 03 14:00:50 GMT 2013",40,"BatchId:1284637;",14400,864000,"Tue Oct 08 14:00:50 GMT 2013",NA,NA,"2ERMAZHHRRLF3Q6PB8IH7KHTPAJMD3","A2LK12UG9VA49J","Submitted","Thu Oct 03 14:53:30 GMT 2013","Thu Oct 03 15:27:31 GMT 2013","Sun Oct 13 08:27:31 PDT 2013",NA,NA,NA,2041,"0% (0/0)","0% (0/0)","0% (0/0)","","yes","USA",NA,NA,16,"100",1,10,1,0,1,1,1,1,1,1,1,1,1,0.08,0,8,1,28,2286,514,0.183571428571429,16,15.5510204081633,147,39,32,40,36,0,0,0,1,1,1
