"","WillowSubNo","PayCode","movieCheck","trialNo","itemId","eventOrder","blockOrder","eventType","condition","manner","result","verbName","verbMeaning","seeAmbigV1","seeAmbigV2","seeBiasV1","seeBiasV2","seeTrain1a","seeTrain2a","seeTrain3a","seeTrain1b","seeTrain2b","seeTrain3b","seeTestV1","seeTestV2","ambigS","ambigV","bias1","bias2","biasV1Ans","bias1RESP","biasV2Ans","bias2RESP","test1","test2","testV1Ans","test1RESP","testV2Ans","test2RESP","catchTrialNum","catchOrderedNum","catchTrialRESP","commentCheck","HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.Comments","Answer.English","Answer.country","Approve","Reject","trialCount","SubNo"
"12","103","c2bbbd4413i103","A red and green ball bouncing back and forth.","1","4","b1Motion_b2Causal","b1Path_b2Causal","Motion","Path","hop","around","molking","around","1","1","1","1","1","1","1","1","1","1","1","1","The monster is molking around the penguin.","hop.around.penguin","crabwalk.around.firehouse","hop.up.deer","0","0","1","1","hop.down.gazeebo","walk.around.goat","0","1","1","1","9 6 9 1 7","    16799","16799","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"29UMIKMN9U8PMOLAH9NXO3SZD5TSBZ","AA9V4NE8SOA4I","Approved","Thu Sep 26 17:14:27 GMT 2013","Thu Sep 26 18:37:41 GMT 2013","Sun Oct 06 11:37:41 PDT 2013","Fri Sep 27 11:21:53 PDT 2013",NA,NA,4994,"100% (1/1)","100% (1/1)","100% (1/1)","That was very boring.I hope our data helps.
Have a nice day!","yes","USA",NA,NA,16,"1"
"4","103","c2bbbd4413i103","A red and green ball bouncing back and forth.","10","6","b1Motion_b2Causal","b1Path_b2Causal","Causal","Means","pliers","bend","klebbing","pliers","1","1","1","1","1","1","0","1","1","1","1","1","The monster is klebbing the candle.","pliers.bend.candle","hammer.bend.sunflower","pliers.cut.pizza","0","1","1","0","bat.bend.flagpole","pliers.empty.martiniglass","0","","1","","5 2 0 1 2","    01225","01225","Reminds me of dial up internet.","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"29UMIKMN9U8PMOLAH9NXO3SZD5TSBZ","AA9V4NE8SOA4I","Approved","Thu Sep 26 17:14:27 GMT 2013","Thu Sep 26 18:37:41 GMT 2013","Sun Oct 06 11:37:41 PDT 2013","Fri Sep 27 11:21:53 PDT 2013",NA,NA,4994,"100% (1/1)","100% (1/1)","100% (1/1)","That was very boring.I hope our data helps.
Have a nice day!","yes","USA",NA,NA,16,"1"
"16","103","c2bbbd4413i103","A red and green ball bouncing back and forth.","11","3","b1Motion_b2Causal","b1Path_b2Causal","Causal","Means","crowbar","open","zicking","crowbar","1","1","1","1","1","1","0","1","1","1","1","1","The monster is zicking the grill.","crowbar.open.grill","crowbar.rip.pillow","trowel.open.door","1","-1","0","-1","crowbar.break.shoe","poker.open.window","1","","0","","7 0 5 2 8","    02578","02578","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"29UMIKMN9U8PMOLAH9NXO3SZD5TSBZ","AA9V4NE8SOA4I","Approved","Thu Sep 26 17:14:27 GMT 2013","Thu Sep 26 18:37:41 GMT 2013","Sun Oct 06 11:37:41 PDT 2013","Fri Sep 27 11:21:53 PDT 2013",NA,NA,4994,"100% (1/1)","100% (1/1)","100% (1/1)","That was very boring.I hope our data helps.
Have a nice day!","yes","USA",NA,NA,16,"1"
"3","103","c2bbbd4413i103","A red and green ball bouncing back and forth.","12","4","b1Motion_b2Causal","b1Path_b2Causal","Causal","Means","hammer","crush","nibbing","hammer","0","1","1","1","1","1","0","1","1","1","1","1","The monster is nibbing the strawberries.","hammer.crush.strawberries","pliers.crush.candycanes","hammer.empty.brushcontainer","0","-1","1","-1","comb.crush.juicebox","hammer.cut.watermelon","0","","1","","9 2 9 2 8","    22899","22899","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"29UMIKMN9U8PMOLAH9NXO3SZD5TSBZ","AA9V4NE8SOA4I","Approved","Thu Sep 26 17:14:27 GMT 2013","Thu Sep 26 18:37:41 GMT 2013","Sun Oct 06 11:37:41 PDT 2013","Fri Sep 27 11:21:53 PDT 2013",NA,NA,4994,"100% (1/1)","100% (1/1)","100% (1/1)","That was very boring.I hope our data helps.
Have a nice day!","yes","USA",NA,NA,16,"1"
"6","103","c2bbbd4413i103","A red and green ball bouncing back and forth.","13","8","b1Motion_b2Causal","b1Path_b2Causal","Causal","Means","trowel","flatten","rolting","trowel","0","1","1","1","1","1","0","1","1","1","1","1","The monster is rolting the sand.","trowel.flatten.sand","crowbar.flatten.donut","trowel.break.flowerpot","0","-1","1","-1","knife.flatten.sponge","trowel.rip.sack","0","","1","","4 2 1 7 7","    12477","12477","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"29UMIKMN9U8PMOLAH9NXO3SZD5TSBZ","AA9V4NE8SOA4I","Approved","Thu Sep 26 17:14:27 GMT 2013","Thu Sep 26 18:37:41 GMT 2013","Sun Oct 06 11:37:41 PDT 2013","Fri Sep 27 11:21:53 PDT 2013",NA,NA,4994,"100% (1/1)","100% (1/1)","100% (1/1)","That was very boring.I hope our data helps.
Have a nice day!","yes","USA",NA,NA,16,"1"
"8","103","c2bbbd4413i103","A red and green ball bouncing back and forth.","14","1","b1Motion_b2Causal","b1Path_b2Causal","Causal","Means","bat","break","blicking","bat","0","1","1","0","1","1","0","1","1","1","1","1","The monster is blicking the record.","bat.break.record","bat.flatten.cupcake","comb.break.cookies","1","0","0","1","bat.open.babybottle","pliers.break.eyeglasses","1","","0","","5 7 7 6 9","    56779","56779","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"29UMIKMN9U8PMOLAH9NXO3SZD5TSBZ","AA9V4NE8SOA4I","Approved","Thu Sep 26 17:14:27 GMT 2013","Thu Sep 26 18:37:41 GMT 2013","Sun Oct 06 11:37:41 PDT 2013","Fri Sep 27 11:21:53 PDT 2013",NA,NA,4994,"100% (1/1)","100% (1/1)","100% (1/1)","That was very boring.I hope our data helps.
Have a nice day!","yes","USA",NA,NA,16,"1"
"13","103","c2bbbd4413i103","A red and green ball bouncing back and forth.","15","2","b1Motion_b2Causal","b1Path_b2Causal","Causal","Means","comb","rip","gossing","comb","0","0","1","1","1","1","0","1","1","1","1","1","The monster is gossing the armchair.","comb.rip.armchair","bat.rip.kite","comb.open.book","0","1","1","0","hammer.rip.shirt","comb.flatten.burger","0","","1","","4 4 6 0 1","    01446","01446","Somewhere over the rainbow.","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"29UMIKMN9U8PMOLAH9NXO3SZD5TSBZ","AA9V4NE8SOA4I","Approved","Thu Sep 26 17:14:27 GMT 2013","Thu Sep 26 18:37:41 GMT 2013","Sun Oct 06 11:37:41 PDT 2013","Fri Sep 27 11:21:53 PDT 2013",NA,NA,4994,"100% (1/1)","100% (1/1)","100% (1/1)","That was very boring.I hope our data helps.
Have a nice day!","yes","USA",NA,NA,16,"1"
"9","103","c2bbbd4413i103","A red and green ball bouncing back and forth.","16","7","b1Motion_b2Causal","b1Path_b2Causal","Causal","Means","poker","empty","wugging","poker","0","1","0","0","1","1","0","1","1","1","1","1","The monster is wugging the trash.","poker.empty.trash","poker.crush.car","knife.empty.goblet","1","-1","0","-1","poker.bend.lamp","crowbar.empty.detergentcontainer","1","","0","","7 1 3 7 7","    13777","","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"29UMIKMN9U8PMOLAH9NXO3SZD5TSBZ","AA9V4NE8SOA4I","Approved","Thu Sep 26 17:14:27 GMT 2013","Thu Sep 26 18:37:41 GMT 2013","Sun Oct 06 11:37:41 PDT 2013","Fri Sep 27 11:21:53 PDT 2013",NA,NA,4994,"100% (1/1)","100% (1/1)","100% (1/1)","That was very boring.I hope our data helps.
Have a nice day!","yes","USA",NA,NA,16,"1"
"11","103","c2bbbd4413i103","A red and green ball bouncing back and forth.","2","2","b1Motion_b2Causal","b1Path_b2Causal","Motion","Path","crawl","down","glipping","down","1","1","1","1","1","1","1","1","1","1","1","1","The monster is glipping down to the clown.","crawl.down.clown","flapwalk.down.frog","crawl.into.cave","0","0","1","1","crawl.around.birdhouse","stoopwalk.down.lamp","0","0","1","1","4 4 2 3 4","    23444","23444","Weird","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"29UMIKMN9U8PMOLAH9NXO3SZD5TSBZ","AA9V4NE8SOA4I","Approved","Thu Sep 26 17:14:27 GMT 2013","Thu Sep 26 18:37:41 GMT 2013","Sun Oct 06 11:37:41 PDT 2013","Fri Sep 27 11:21:53 PDT 2013",NA,NA,4994,"100% (1/1)","100% (1/1)","100% (1/1)","That was very boring.I hope our data helps.
Have a nice day!","yes","USA",NA,NA,16,"1"
"15","103","c2bbbd4413i103","A red and green ball bouncing back and forth.","3","5","b1Motion_b2Causal","b1Path_b2Causal","Motion","Path","roll","between","torging","between","1","1","1","1","1","1","1","1","1","1","1","1","The monster is torging between the trees. ","roll.between.trees","roll.through.tent","walk.between.buildings","1","1","0","1","crabwalk.between.lights","roll.over.shrub","1","1","0","0","4 0 4 7 0","    00447","00447","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"29UMIKMN9U8PMOLAH9NXO3SZD5TSBZ","AA9V4NE8SOA4I","Approved","Thu Sep 26 17:14:27 GMT 2013","Thu Sep 26 18:37:41 GMT 2013","Sun Oct 06 11:37:41 PDT 2013","Fri Sep 27 11:21:53 PDT 2013",NA,NA,4994,"100% (1/1)","100% (1/1)","100% (1/1)","That was very boring.I hope our data helps.
Have a nice day!","yes","USA",NA,NA,16,"1"
