SubjectNo,Date,Time,VerbDomain,Condition,trialNo,itemID,verbName,verbMeaning,mannerSideBias,pathSideBias,kidResponseBias,mannerSideTest,pathSideTest,kidResponseTest,noun1Test,noun2Test,totalTime,xxxxxxxxx,expStartTime,trainingStartTime,trainingEndTime,finalTestStart,finalTestEnd,ambigVid,mBiasVid,pBiasVid,trainVid1,trainVid2,trainVid3,mTestVid,pTestVid,ambigAudioFuture,ambigAudioPast,trainAudioFuture1,trainAudioPast1,trainAudioFuture2,trainAudioPast2,trainAudioFuture3,trainAudioPast3,whichOneAudio,letsFindAudio
105,28-Jun-2016,15:40:48.550,CoS,Effect,1,5.5,gorping,cut,R,L,z,R,L,c,c,z,200.9113,xxxx,1553.3659,1675.619,1727.3711,1729.8977,1747.6661,knife.cut.bread.5s.mov,knife.bend.fork.5s.mov,poker.cut.curtain.5s.mov,bat.cut.bagel.5s.mov,comb.cut.pie.5s.mov,crowbar.cut.cucumber.5s.mov,knife.crush.apple.5s.mov,trowel.cut.cheese.5s.mov,gorping_path_future_bread.wav,gorping_path_past_bread.wav,gorping_path_future_bagel.wav,gorping_path_past_bagel.wav,gorping_path_future_pie.wav,gorping_path_past_pie.wav,gorping_path_future_cucumber.wav,gorping_path_past_cucumber.wav,which_gorping.wav,letsfindgorping.wav
105,28-Jun-2016,15:42:41.494,CoS,Effect,2,5.3,zicking,open,L,R,c,R,L,z,c,z,313.9745,xxxx,1553.3659,1789.5806,1840.3935,1843.3269,1860.2733,crowbar.open.grill.5s.mov,crowbar.rip.pillow.5s.mov,trowel.open.door.5s.mov,hammer.open.envelope.5s.mov,pliers.open.jar.5s.mov,knife.open.box.5s.mov,crowbar.break.shoe.5s.mov,poker.open.window.5s.mov,zicking_path_future_grill.wav,zicking_path_past_grill.wav,zicking_path_future_envelope.wav,zicking_path_past_envelope.wav,zicking_path_future_jar.wav,zicking_path_past_jar.wav,zicking_path_future_box.wav,zicking_path_past_box.wav,which_zicking.wav,letsfindzicking.wav
105,28-Jun-2016,15:44:35.194,CoS,Effect,3,5.1,blicking,break,L,R,z,L,R,c,c,z,427.6711,xxxx,1553.3659,1903.4105,1954.9836,1957.7065,1974.0601,bat.break.record.5s.mov,bat.flatten.cupcake.5s.mov,comb.break.cookies.5s.mov,knife.break.frame.5s.mov,poker.break.piggybank.5s.mov,hammer.break.bone.5s.mov,bat.open.babybottle.5s.mov,pliers.break.eyeglasses.5s.mov,blicking_path_future_record.wav,blicking_path_past_record.wav,blicking_path_future_frame.wav,blicking_path_past_frame.wav,blicking_path_future_piggybank.wav,blicking_path_past_piggybank.wav,blicking_path_future_bone.wav,blicking_path_past_bone.wav,which_blicking.wav,letsfindblicking.wav
105,28-Jun-2016,15:46:36.647,CoS,Effect,4,5.6,klebbing,bend,L,R,c,L,R,c,c,z,549.1211,xxxx,1553.3659,2016.5393,2069.5806,2072.3027,2087.995,pliers.bend.candle.5s.mov,pliers.cut.pizza.5s.mov,hammer.bend.sunflower.5s.mov,trowel.bend.wateringcan.5s.mov,crowbar.bend.spatula.5s.mov,comb.bend.coathanger.5s.mov,pliers.empty.glass.5s.mov,bat.bend.flagpole.5s.mov,klebbing_path_future_candle.wav,klebbing_path_past_candle.wav,klebbing_path_future_wateringcan.wav,klebbing_path_past_wateringcan.wav,klebbing_path_future_spatula.wav,klebbing_path_past_spatula.wav,klebbing_path_future_coathanger.wav,klebbing_path_past_coathanger.wav,which_klebbing.wav,letsfindklebbing.wav
105,28-Jun-2016,15:48:31.731,CoS,Effect,5,5.8,rolting,flatten,R,L,z,R,L,z,c,z,664.2013,xxxx,1553.3659,2139.4074,2190.6778,2193.5536,2210.2971,trowel.flatten.sand.5s.mov,trowel.break.flowerpot.5s.mov,crowbar.flatten.donut.5s.mov,pliers.flatten.pumpkin.5s.mov,hammer.flatten.sandwich.5s.mov,poker.flatten.cake.5s.mov,trowel.rip.sack.5s.mov,knife.flatten.sponge.5s.mov,rolting_path_future_sand.wav,rolting_path_past_sand.wav,rolting_path_future_pumpkin.wav,rolting_path_past_pumpkin.wav,rolting_path_future_sandwich.wav,rolting_path_past_sandwich.wav,rolting_path_future_cake.wav,rolting_path_past_cake.wav,which_rolting.wav,letsfindrolting.wav
105,28-Jun-2016,15:50:24.013,CoS,Effect,6,5.2,gossing,rip,L,R,c,L,R,z,c,z,776.48,xxxx,1553.3659,2252.8859,2304.8971,2307.9162,2324.6346,comb.rip.armchair.5s.mov,comb.open.book.5s.mov,bat.rip.kite.5s.mov,poker.rip.pants.5s.mov,knife.rip.newspaper.5s.mov,pliers.rip.tablecloth.5s.mov,comb.flatten.burger.5s.mov,hammer.rip.shirt.5s.mov,gossing_path_future_armchair.wav,gossing_path_past_armchair.wav,gossing_path_future_pants.wav,gossing_path_past_pants.wav,gossing_path_future_newspaper.wav,gossing_path_past_newspaper.wav,gossing_path_future_tablecloth.wav,gossing_path_past_tablecloth.wav,which_gossing.wav,letsfindgossing.wav
105,28-Jun-2016,15:52:15.060,CoS,Effect,7,5.4,nibbing,crush,R,L,z,L,R,c,c,z,887.5246,xxxx,1553.3659,2365.6308,2416.6874,2419.5948,2435.8243,hammer.crush.strawberries.5s.mov,hammer.empty.brushcontainer.5s.mov,pliers.crush.candycanes.5s.mov,crowbar.crush.soap.5s.mov,trowel.crush.bottle.5s.mov,bat.crush.nuts.5s.mov,hammer.cut.watermelon.5s.mov,comb.crush.juicebox.5s.mov,nibbing_path_future_strawberries.wav,nibbing_path_past_strawberries.wav,nibbing_path_future_soap.wav,nibbing_path_past_soap.wav,nibbing_path_future_bottle.wav,nibbing_path_past_bottle.wav,nibbing_path_future_nuts.wav,nibbing_path_past_nuts.wav,which_nibbing.wav,letsfindnibbing.wav
105,28-Jun-2016,15:54:09.026,CoS,Effect,8,5.7,wugging,empty,R,L,z,R,L,z,c,z,1001.4871,xxxx,1553.3659,2477.1433,2529.3325,2531.9727,2547.9302,poker.empty.trash.5s.mov,poker.crush.car.5s.mov,knife.empty.goblet.5s.mov,comb.empty.bowl.5s.mov,bat.empty.grocerybag.5s.mov,trowel.empty.vase.5s.mov,poker.bend.lamp.5s.mov,crowbar.empty.detergentcontainer.5s.mov,wugging_path_future_trash.wav,wugging_path_past_trash.wav,wugging_path_future_bowl.wav,wugging_path_past_bowl.wav,wugging_path_future_grocerybag.wav,wugging_path_past_grocerybag.wav,wugging_path_future_vase.wav,wugging_path_past_vase.wav,which_wugging.wav,letsfindwugging.wav
105,28-Jun-2016,15:54:48.232,Motion,Effect,9,1.4,molking,hop,R,L,z,NA,NA,NA,c,z,1040.6917,xxxx,1553.3659,NA,NA,NA,2590.39,hop.around.penguin.5s.mov,hop.up.deer.5s.mov,crawl.around.birdhouse.5s.mov,hop.over.book.5s.mov,hop.through.tree.5s.mov,hop.between.snowmen.5s.mov,hop.down.gazebo.5s.mov,walk.around.goat.5s.mov,molking_manner_future_penguin.wav,molking_manner_past_penguin.wav,molking_manner_future_book.wav,molking_manner_past_book.wav,molking_manner_future_tree.wav,molking_manner_past_tree.wav,molking_manner_future_snowmen.wav,molking_manner_past_snowmen.wav,which_molking.wav,letsfindmolking.wav
105,28-Jun-2016,15:55:24.687,Motion,Effect,10,1.7,birking,tiptoe,L,R,c,NA,NA,NA,c,z,1077.1455,xxxx,1553.3659,NA,NA,NA,2628.2105,tiptoe.over.cone.5s.mov,tiptoe.front.snowplow.5s.mov,stoopwalk.over.haystack.5s.mov,tiptoe.around.spaceship.5s.mov,tiptoe.down.dog.5s.mov,tiptoe.into.spaceship2.5s.mov,tiptoe.between.pigs.5s.mov,flapwalk.over.plane.5s.mov,birking_manner_future_cone.wav,birking_manner_past_cone.wav,birking_manner_future_spaceship.wav,birking_manner_past_spaceship.wav,birking_manner_future_dog.wav,birking_manner_past_dog.wav,birking_manner_future_spaceship2.wav,birking_manner_past_spaceship2.wav,which_birking.wav,letsfindbirking.wav
